X,Y,OBJECTID,TYPE_BANK,STANDPLAATS,WIJK
192891.524799999,445068.401099999,1256,Bank,Park,Velperweg e.o.
191254.101599999,443442.568700001,1257,Bank,Trottoir,Centrum
191276.2225,443460.5491,1258,Bank,Trottoir,Centrum
192554.256000001,445376.401500002,1259,Bank,Park,Monnikenhuizen
192761.9388,445964.298900001,1260,Bank,Park,Monnikenhuizen
192679.849300001,445638.0605,1261,Bank,Speeltuin,Monnikenhuizen
192542.3717,445536.434599999,1262,Bank,Park,Monnikenhuizen
192545.6349,445537.602899998,1263,Bank,Park,Monnikenhuizen
192582.201900002,445554.4976,1264,Bank,Park,Monnikenhuizen
192587.715799998,445556.651299998,1265,Bank,Park,Monnikenhuizen
192717.377799999,445457.197799999,1266,Bank,Park,Velperweg e.o.
193382.699900001,445809.373300001,1267,Bank,Park,Velperweg e.o.
193374.040399998,445885.1428,1268,Bank,Park,Velperweg e.o.
193322.7104,445871.341699999,1269,Bank,Park,Velperweg e.o.
193471.975299999,445978.977699999,1270,Bank,Park,Velperweg e.o.
191064.4102,444475.122299999,1271,Bank,Speeltuin,St. Marten/Sonsbeek
191678.686799999,445397.243000001,1272,Bank,Park,Monnikenhuizen
193389.3477,446210.185699999,1273,Bank,Bushalte,Monnikenhuizen
193384.6105,446193.031199999,1274,Bank,Bushalte,Monnikenhuizen
191640.555399999,443208.0042,1275,Bank,Trottoir,Arnhemse Broek
191516.097600002,443163.205699999,1276,Bank,Trottoir,Arnhemse Broek
191455.447999999,443144.118999999,1277,Bank,Trottoir,Arnhemse Broek
191452.596799999,443146.749600001,1278,Bank,Trottoir,Arnhemse Broek
191435.547400001,443119.565699998,1279,Bank,Trottoir,Arnhemse Broek
191076.6426,442049.657200001,1280,Bank,Trottoir,Malburgen-Oost (Zuid)
191077.7892,442051.100499999,1281,Bank,Park,Malburgen-Oost (Zuid)
191092.0627,442081.5469,1282,Bank,Park,Malburgen-Oost (Zuid)
191088.679900002,442084.1195,1283,Bank,Park,Malburgen-Oost (Zuid)
191087.948899999,442080.309300002,1284,Bank,Park,Malburgen-Oost (Zuid)
191116.655099999,442018.567600001,1285,Bank,Park,Malburgen-Oost (Zuid)
191128.8972,442046.5011,1286,Bank,Park,Malburgen-Oost (Zuid)
191131.155499998,442048.561999999,1287,Bank,Park,Malburgen-Oost (Zuid)
191128.861699998,442049.823800001,1288,Bank,Park,Malburgen-Oost (Zuid)
191127.129099999,442047.882100001,1289,Bank,Park,Malburgen-Oost (Zuid)
191164.243500002,441989.414299998,1290,Bank,Park,Malburgen-Oost (Zuid)
191177.752300002,442027.443,1291,Bank,Park,Malburgen-Oost (Zuid)
191176.066199999,442022.927000001,1292,Bank,Park,Malburgen-Oost (Zuid)
191173.309799999,442022.4879,1293,Bank,Park,Malburgen-Oost (Zuid)
191170.710099999,442024.4958,1294,Bank,Park,Malburgen-Oost (Zuid)
191171.028900001,442027.530699998,1295,Bank,Park,Malburgen-Oost (Zuid)
191173.4943,442029.504799999,1296,Bank,Park,Malburgen-Oost (Zuid)
191194.451499999,441947.0825,1297,Bank,Park,Malburgen-Oost (Zuid)
191222.333900001,441816.9868,1298,Bank,Trottoir,Malburgen-Oost (Zuid)
